"","id","catholic","race_white","race_black","race_hispanic","race_asian","places_lived","m_age","f_age","f_ed","m_ed","m_prestige","f_prestige","fam_income","poverty","fstamp","math_score"
"329","0038012C",0,1,0,0,0,1,37,36,0,0,53.5,38.18,87500.5,0,0,35.087
"330","0038015C",1,0,1,0,0,1,40,NA,NA,0,NA,NA,17500.5,0,0,41.623
"331","0038016C",0,1,0,0,0,2,35,52,1,0,63.43,34.95,12500.5,1,0,39.138
"332","0038017C",0,1,0,0,0,1,43,45,0,1,38.18,52.54,37500.5,0,0,53.572
"333","0038018C",0,0,0,1,0,NA,33,31,1,1,38.18,34.95,12500.5,1,NA,47.188
"334","0038019C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.238
"335","0038020C",0,1,0,0,0,1,36,36,0,0,34.95,34.95,37500.5,0,0,64.191
"336","0038022C",0,0,0,1,0,1,34,39,1,1,34.95,39.2,27500.5,0,0,52.587
"337","0038023C",0,1,0,0,0,NA,38,42,1,1,34.95,38.18,22500.5,0,0,35.842
"338","0038024C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.058
"339","0039003C",0,1,0,0,0,1,50,46,0,0,63.43,64.89,150000.5,0,0,59.098
"340","0039006C",0,1,0,0,0,1,45,49,0,0,NA,64.89,200001,0,0,63.548
"341","0039007C",0,1,0,0,0,1,47,50,0,1,NA,NA,87500.5,0,0,61.001
"342","0039016C",0,1,0,0,0,2,42,39,0,0,72.1,53.5,150000.5,0,0,66.634
"343","0040010C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.288
"344","0040012C",0,1,0,0,0,2,37,37,0,0,63.43,38.18,37500.5,0,0,47.977
"345","0040014C",0,0,0,1,0,1,32,36,1,1,38.18,37.67,27500.5,0,0,44.38
"346","0040015C",0,0,0,1,0,1,46,NA,NA,1,34.95,NA,17500.5,0,0,38.902
"347","0040016C",0,0,0,1,0,2,34,30,1,1,34.95,34.95,17500.5,1,0,46.78
"348","0040017C",0,0,0,1,0,1,33,38,0,1,34.95,34.95,7500.5,1,1,47.983
"349","0040019C",0,0,0,1,0,2,30,42,0,1,34.95,35.78,32500.5,0,0,48.029
"350","0040020C",0,0,0,1,0,1,34,35,1,1,NA,34.95,27500.5,0,0,48.238
"351","0040021C",0,0,0,1,0,1,32,42,0,0,34.95,34.95,22500.5,0,0,36.146
"352","0040022C",0,0,0,1,0,1,45,48,1,0,38.18,NA,17500.5,1,0,36.595
"353","0040023C",0,0,0,1,0,1,52,54,1,1,34.95,34.95,27500.5,0,0,49.683
"354","0040024C",0,0,0,1,0,1,40,NA,NA,1,34.95,NA,22500.5,0,1,42.211
"355","0040040C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.468
"356","0040041C",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.53
"357","0040042C",0,1,0,0,0,2,34,44,1,1,34.95,29.6,22500.5,0,0,52.464
"358","0040044C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.85
"359","0041006C",0,1,0,0,0,1,37,39,1,1,53.5,34.95,37500.5,0,0,48.995
"360","0042002C",0,0,0,0,1,1,33,37,1,1,38.18,33.42,22500.5,0,0,53.535
"361","0042003C",0,0,0,0,1,1,35,42,1,1,38.18,33.42,62500.5,0,0,34.043
"362","0042004C",0,0,0,0,1,3,36,42,1,0,38.18,64.89,17500.5,1,0,38.137
"363","0042005C",0,0,0,0,1,1,41,NA,NA,1,NA,NA,7500.5,1,1,44.099
"364","0042006C",0,0,0,0,1,1,29,33,0,0,38.18,38.18,32500.5,0,0,68.519
"365","0042009C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.757
"366","0042010C",0,0,0,1,0,1,36,42,1,1,34.95,34.95,37500.5,0,0,53.52
"367","0042011C",0,0,0,1,0,1,38,39,1,1,33.42,NA,12500.5,1,1,51.361
"368","0042012C",0,0,0,1,0,1,38,34,1,1,NA,35.92,5000,1,1,30.678
